PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"35163468","Oncogenic Mutation BRAF V600E Changes Phenotypic Behavior of THLE-2 Liver Cells through Alteration of Gene Expression","Śmiech M, Leszczyński P, Wardell C, Poznański P, Pierzchała M, Taniguchi H.","Int J Mol Sci. 2022 Jan 28;23(3):1548. doi: 10.3390/ijms23031548.","Śmiech M","Int J Mol Sci","2022","2022/02/15","PMC8836259","","10.3390/ijms23031548"
"26990457","Hyperpolarized (13)C-lactate to (13)C-bicarbonate ratio as a biomarker for monitoring the acute response of anti-vascular endothelial growth factor (anti-VEGF) treatment","Park JM, Spielman DM, Josan S, Jang T, Merchant M, Hurd RE, Mayer D, Recht LD.","NMR Biomed. 2016 May;29(5):650-9. doi: 10.1002/nbm.3509. Epub 2016 Mar 14.","Park JM","NMR Biomed","2016","2016/03/19","PMC4833516","NIHMS768446","10.1002/nbm.3509"
"24562443","Validation of the Consensus-Definition for Cancer Cachexia and evaluation of a classification model--a study based on data from an international multicentre project (EPCRC-CSA)","Blum D, Stene GB, Solheim TS, Fayers P, Hjermstad MJ, Baracos VE, Fearon K, Strasser F, Kaasa S; Euro-Impact.","Ann Oncol. 2014 Aug;25(8):1635-42. doi: 10.1093/annonc/mdu086. Epub 2014 Feb 20.","Blum D","Ann Oncol","2014","2014/02/25","","","10.1093/annonc/mdu086"
"27843485","Learning Latent Variable Gaussian Graphical Model for Biomolecular Network with Low Sample Complexity","Wang Y, Liu Q, Yuan B.","Comput Math Methods Med. 2016;2016:2078214. doi: 10.1155/2016/2078214. Epub 2016 Oct 23.","Wang Y","Comput Math Methods Med","2016","2016/11/16","PMC5097857","","10.1155/2016/2078214"
"33157050","Large-Scale Characterization of Drug Responses of Clinically Relevant Proteins in Cancer Cell Lines","Zhao W, Li J, Chen MM, Luo Y, Ju Z, Nesser NK, Johnson-Camacho K, Boniface CT, Lawrence Y, Pande NT, Davies MA, Herlyn M, Muranen T, Zervantonakis IK, von Euw E, Schultz A, Kumar SV, Korkut A, Spellman PT, Akbani R, Slamon DJ, Gray JW, Brugge JS, Lu Y, Mills GB, Liang H.","Cancer Cell. 2020 Dec 14;38(6):829-843.e4. doi: 10.1016/j.ccell.2020.10.008. Epub 2020 Nov 5.","Zhao W","Cancer Cell","2020","2020/11/06","PMC7738392","NIHMS1638728","10.1016/j.ccell.2020.10.008"
"34671117","Overcoming TGFβ-mediated immune evasion in cancer","Tauriello DVF, Sancho E, Batlle E.","Nat Rev Cancer. 2022 Jan;22(1):25-44. doi: 10.1038/s41568-021-00413-6. Epub 2021 Oct 20.","Tauriello DVF","Nat Rev Cancer","2022","2021/10/21","","","10.1038/s41568-021-00413-6"
"24136228","Src42A modulates tumor invasion and cell death via Ben/dUev1a-mediated JNK activation in Drosophila","Ma X, Shao Y, Zheng H, Li M, Li W, Xue L.","Cell Death Dis. 2013 Oct 17;4(10):e864. doi: 10.1038/cddis.2013.392.","Ma X","Cell Death Dis","2013","2013/10/19","PMC3920939","","10.1038/cddis.2013.392"
"26553031","Prediction of critical weight loss during radiation treatment in head and neck cancer patients is dependent on BMI","Lønbro S, Petersen GB, Andersen JR, Johansen J.","Support Care Cancer. 2016 May;24(5):2101-2109. doi: 10.1007/s00520-015-2999-8. Epub 2015 Nov 9.","Lønbro S","Support Care Cancer","2016","2015/11/11","","","10.1007/s00520-015-2999-8"
"22896707","Micromanaging Iron Homeostasis: hypoxia-inducible micro-RNA-210 suppresses iron homeostasis-related proteins","Yoshioka Y, Kosaka N, Ochiya T, Kato T.","J Biol Chem. 2012 Oct 5;287(41):34110-9. doi: 10.1074/jbc.M112.356717. Epub 2012 Aug 15.","Yoshioka Y","J Biol Chem","2012","2012/08/17","PMC3464520","","10.1074/jbc.M112.356717"
"32030850","Estrogen-related receptor-α promotes gallbladder cancer development by enhancing the transcription of Nectin-4","Wang L, Yang M, Guo X, Yang Z, Liu S, Ji Y, Jin H.","Cancer Sci. 2020 May;111(5):1514-1527. doi: 10.1111/cas.14344. Epub 2020 Feb 29.","Wang L","Cancer Sci","2020","2020/02/08","PMC7226197","","10.1111/cas.14344"
"29989053","WDR1 Promotes Cell Growth and Migration and Contributes to Malignant Phenotypes of Non-small Cell Lung Cancer through ADF/cofilin-mediated Actin Dynamics","Yuan B, Zhang R, Hu J, Liu Z, Yang C, Zhang T, Zhang C.","Int J Biol Sci. 2018 Jun 8;14(9):1067-1080. doi: 10.7150/ijbs.23845. eCollection 2018.","Yuan B","Int J Biol Sci","2018","2018/07/11","PMC6036740","","10.7150/ijbs.23845"
"31319814","Sirtuin1 activator SRT2183 suppresses glioma cell growth involving activation of endoplasmic reticulum stress pathway","Ye T, Wei L, Shi J, Jiang K, Xu H, Hu L, Kong L, Zhang Y, Meng S, Piao H.","BMC Cancer. 2019 Jul 18;19(1):706. doi: 10.1186/s12885-019-5852-5.","Ye T","BMC Cancer","2019","2019/07/20","PMC6637499","","10.1186/s12885-019-5852-5"
"23998647","Weight loss, appetite loss and food intake in cancer patients with cancer cachexia: three peas in a pod? - analysis from a multicenter cross sectional study","Solheim TS, Blum D, Fayers PM, Hjermstad MJ, Stene GB, Strasser F, Kaasa S.","Acta Oncol. 2014 Apr;53(4):539-46. doi: 10.3109/0284186X.2013.823239. Epub 2013 Sep 2.","Solheim TS","Acta Oncol","2014","2013/09/04","","","10.3109/0284186X.2013.823239"
"30241415","Whole Exome Sequencing Identifies a Novel Hedgehog-Interacting Protein G516R Mutation in Locally Advanced Papillary Thyroid Cancer","Lee WK, Lee SG, Yim SH, Kim D, Kim H, Jeong S, Jung SG, Jo YS, Lee J.","Int J Mol Sci. 2018 Sep 21;19(10):2867. doi: 10.3390/ijms19102867.","Lee WK","Int J Mol Sci","2018","2018/09/23","PMC6213497","","10.3390/ijms19102867"
"32713162","24-Dehydrocholesterol reductase promotes the growth of breast cancer stem-like cells through the Hedgehog pathway","Qiu T, Cao J, Chen W, Wang J, Wang Y, Zhao L, Liu M, He L, Wu G, Li H, Gu H.","Cancer Sci. 2020 Oct;111(10):3653-3664. doi: 10.1111/cas.14587. Epub 2020 Aug 13.","Qiu T","Cancer Sci","2020","2020/07/27","PMC7540995","","10.1111/cas.14587"
"33907832","Galectin‑9 suppresses the tumor growth of colon cancer in vitro and in vivo","Morishita A, Nomura K, Tani J, Fujita K, Iwama H, Takuma K, Nakahara M, Tadokoro T, Oura K, Chiyo T, Fujihara S, Niki T, Hirashima M, Nishiyama A, Himoto T, Masaki T.","Oncol Rep. 2021 Jun;45(6):105. doi: 10.3892/or.2021.8056. Epub 2021 Apr 28.","Morishita A","Oncol Rep","2021","2021/04/28","PMC8072828","","10.3892/or.2021.8056"
"30762585","Differential immune profiles distinguish the mutational subtypes of gastrointestinal stromal tumor","Vitiello GA, Bowler TG, Liu M, Medina BD, Zhang JQ, Param NJ, Loo JK, Goldfeder RL, Chibon F, Rossi F, Zeng S, DeMatteo RP.","J Clin Invest. 2019 May 1;129(5):1863-1877. doi: 10.1172/JCI124108. Epub 2019 Feb 14.","Vitiello GA","J Clin Invest","2019","2019/02/15","PMC6486334","","10.1172/JCI124108"
"30453543","Transfection of T-Box Transcription Factor BRACHYURY and SOX2 Synergistically Promote Self-Renewal and Invasive Phenotype in Oral Cancer Cells","Akimoto N, Nakamura K, Hijioka H, Kume K, Matsumura Y, Sugiura T.","Int J Mol Sci. 2018 Nov 16;19(11):3620. doi: 10.3390/ijms19113620.","Akimoto N","Int J Mol Sci","2018","2018/11/21","PMC6275038","","10.3390/ijms19113620"
"31850970","Molecular prediction of metastasis in cutaneous squamous cell carcinoma","Mulvaney PM, Schmults CD.","Curr Opin Oncol. 2020 Mar;32(2):129-136. doi: 10.1097/CCO.0000000000000609.","Mulvaney PM","Curr Opin Oncol","2020","2019/12/19","","","10.1097/CCO.0000000000000609"
"27176229","Oxymatrine inhibits the proliferation of CaSki cells via downregulating HPV16E7 expression","Pei Z, Zeng J, Gao Y, Li F, Li W, Zhou H, Yang Y, Wu R, Chen Y, Liu J.","Oncol Rep. 2016 Jul;36(1):291-8. doi: 10.3892/or.2016.4800. Epub 2016 May 10.","Pei Z","Oncol Rep","2016","2016/05/14","","","10.3892/or.2016.4800"
"30021726","Aspirin Suppresses PGE(2) and Activates AMP Kinase to Inhibit Melanoma Cell Motility, Pigmentation, and Selective Tumor Growth In Vivo","Kumar D, Rahman H, Tyagi E, Liu T, Li C, Lu R, Lum D, Holmen SL, Maschek JA, Cox JE, VanBrocklin MW, Grossman D.","Cancer Prev Res (Phila). 2018 Oct;11(10):629-642. doi: 10.1158/1940-6207.CAPR-18-0087. Epub 2018 Jul 18.","Kumar D","Cancer Prev Res (Phila)","2018","2018/07/20","PMC6751568","NIHMS1050494","10.1158/1940-6207.CAPR-18-0087"
"34298946","Tumor Cell-Specific 2'-Fluoro RNA Aptamer Conjugated with Closo-Dodecaborate as A Potential Agent for Boron Neutron Capture Therapy","Vorobyeva MA, Dymova MA, Novopashina DS, Kuligina EV, Timoshenko VV, Kolesnikov IA, Taskaev SY, Richter VA, Venyaminova AG.","Int J Mol Sci. 2021 Jul 7;22(14):7326. doi: 10.3390/ijms22147326.","Vorobyeva MA","Int J Mol Sci","2021","2021/07/24","PMC8307642","","10.3390/ijms22147326"
"25389774","Potent anti-cancer effect of 3'-hydroxypterostilbene in human colon xenograft tumors","Cheng TC, Lai CS, Chung MC, Kalyanam N, Majeed M, Ho CT, Ho YS, Pan MH.","PLoS One. 2014 Nov 12;9(11):e111814. doi: 10.1371/journal.pone.0111814. eCollection 2014.","Cheng TC","PLoS One","2014","2014/11/13","PMC4229093","","10.1371/journal.pone.0111814"
"27373156","Transcription Factor NFIB Is a Driver of Small Cell Lung Cancer Progression in Mice and Marks Metastatic Disease in Patients","Semenova EA, Kwon MC, Monkhorst K, Song JY, Bhaskaran R, Krijgsman O, Kuilman T, Peters D, Buikhuisen WA, Smit EF, Pritchard C, Cozijnsen M, van der Vliet J, Zevenhoven J, Lambooij JP, Proost N, van Montfort E, Velds A, Huijbers IJ, Berns A.","Cell Rep. 2016 Jul 19;16(3):631-43. doi: 10.1016/j.celrep.2016.06.020. Epub 2016 Jun 30.","Semenova EA","Cell Rep","2016","2016/07/05","PMC4956617","","10.1016/j.celrep.2016.06.020"
"32631547","Structure-activity relationship study of cytotoxic neolignan derivatives using multivariate analysis and computation-aided drug design","de Sousa FS, Baldim JL, Azevedo RA, Figueiredo CR, Pieper P, Sear CE, Anderson EA, Lago JHG.","Bioorg Med Chem Lett. 2020 Aug 15;30(16):127349. doi: 10.1016/j.bmcl.2020.127349. Epub 2020 Jun 12.","de Sousa FS","Bioorg Med Chem Lett","2020","2020/07/08","","","10.1016/j.bmcl.2020.127349"
"32045775","Uncommon nornardosinane, seconeolemnane and related sesquiterpenoids from Xisha soft coral Litophyton nigrum","Yang F, Li SW, Zhang J, Liang LF, Lu YH, Guo YW.","Bioorg Chem. 2020 Mar;96:103636. doi: 10.1016/j.bioorg.2020.103636. Epub 2020 Feb 8.","Yang F","Bioorg Chem","2020","2020/02/12","","","10.1016/j.bioorg.2020.103636"
"33028917","Multicompartment modeling of protein shedding kinetics during vascularized tumor growth","Machiraju GB, Mallick P, Frieboes HB.","Sci Rep. 2020 Oct 7;10(1):16709. doi: 10.1038/s41598-020-73866-8.","Machiraju GB","Sci Rep","2020","2020/10/08","PMC7542472","","10.1038/s41598-020-73866-8"
"23169070","In vivo inhibition of bone morphogenetic protein-2 on breast cancer cell growth","Ye S, Park BH, Song KJ, Kim JR, Jang KY, Park HS, Bae JS, Brochmann EJ, Wang JC, Murray SS, Lee KB.","Spine (Phila Pa 1976). 2013 Feb 1;38(3):E143-50. doi: 10.1097/BRS.0b013e31827db4c6.","Ye S","Spine (Phila Pa 1976)","2013","2012/11/22","","","10.1097/BRS.0b013e31827db4c6"
"31043683","Improved contrast of affibody-mediated imaging of HER3 expression in mouse xenograft model through co-injection of a trivalent affibody for in vivo blocking of hepatic uptake","Rosestedt M, Andersson KG, Rinne SS, Leitao CD, Mitran B, Vorobyeva A, Ståhl S, Löfblom J, Tolmachev V, Orlova A.","Sci Rep. 2019 May 1;9(1):6779. doi: 10.1038/s41598-019-43145-2.","Rosestedt M","Sci Rep","2019","2019/05/03","PMC6494909","","10.1038/s41598-019-43145-2"
"30301369","GZD2202, a novel TrkB inhibitor, suppresses BDNF-mediated proliferation and metastasis in neuroblastoma models","Zou J, Zhang Z, Xu F, Cui S, Qi C, Luo J, Wang Z, Lu X, Tu Z, Ren X, Song L, Ding K.","J Drug Target. 2019 Apr;27(4):442-450. doi: 10.1080/1061186X.2018.1533964. Epub 2018 Oct 30.","Zou J","J Drug Target","2019","2018/10/11","","","10.1080/1061186X.2018.1533964"
"29790374","Hybrid liposomes showing enhanced accumulation in tumors as theranostic agents in the orthotopic graft model mouse of colorectal cancer","Okumura M, Ichihara H, Matsumoto Y.","Drug Deliv. 2018 Nov;25(1):1192-1199. doi: 10.1080/10717544.2018.1475517.","Okumura M","Drug Deliv","2018","2018/05/24","PMC6058724","","10.1080/10717544.2018.1475517"
"28437080","Comparison of Tumor Penetration of Podophyllotoxin-Carboxymethylcellulose Conjugates with Various Chemical Compositions in Tumor Spheroid Culture and In Vivo Solid Tumor","Yang Y, Roy A, Zhao Y, Undzys E, Li SD.","Bioconjug Chem. 2017 May 17;28(5):1505-1518. doi: 10.1021/acs.bioconjchem.7b00165. Epub 2017 Apr 28.","Yang Y","Bioconjug Chem","2017","2017/04/25","","","10.1021/acs.bioconjchem.7b00165"
"33230261","Aberrant transcriptional and post-transcriptional regulation of SPAG5, a YAP-TAZ-TEAD downstream effector, fuels breast cancer cell proliferation","Canu V, Donzelli S, Sacconi A, Lo Sardo F, Pulito C, Bossel N, Di Benedetto A, Muti P, Botti C, Domany E, Bicciato S, Strano S, Yarden Y, Blandino G.","Cell Death Differ. 2021 May;28(5):1493-1511. doi: 10.1038/s41418-020-00677-9. Epub 2020 Nov 23.","Canu V","Cell Death Differ","2021","2020/11/24","PMC8166963","","10.1038/s41418-020-00677-9"
"32408897","ERα-related chromothripsis enhances concordant gene transcription on chromosome 17q11.1-q24.1 in luminal breast cancer","Lin CL, Tan X, Chen M, Kusi M, Hung CN, Chou CW, Hsu YT, Wang CM, Kirma N, Chen CL, Lin CH, Lathrop KI, Elledge R, Kaklamani VG, Mitsuya K, Huang TH.","BMC Med Genomics. 2020 May 14;13(1):69. doi: 10.1186/s12920-020-0729-7.","Lin CL","BMC Med Genomics","2020","2020/05/16","PMC7222439","","10.1186/s12920-020-0729-7"
"30075150","Expanding upon the Human Myometrial Stem Cell Hypothesis and the Role of Race, Hormones, Age, and Parity in a Profibroid Environment","Prusinski Fernung LE, Jones K, Mas A, Kleven D, Waller JL, Al-Hendy A.","Am J Pathol. 2018 Oct;188(10):2293-2306. doi: 10.1016/j.ajpath.2018.06.023. Epub 2018 Aug 1.","Prusinski Fernung LE","Am J Pathol","2018","2018/08/04","PMC6168956","","10.1016/j.ajpath.2018.06.023"
"30343534","Fibroblast growth factor receptor 3-mediated reactivation of ERK signaling promotes head and neck squamous cancer cell insensitivity to MEK inhibition","Ban MJ, Byeon HK, Yang YJ, An S, Kim JW, Kim JH, Kim DH, Yang J, Kee H, Koh YW.","Cancer Sci. 2018 Dec;109(12):3816-3825. doi: 10.1111/cas.13839. Epub 2018 Nov 16.","Ban MJ","Cancer Sci","2018","2018/10/22","PMC6272115","","10.1111/cas.13839"
"30219864","SMAD7 in keratinocytes promotes skin carcinogenesis by activating ATM-dependent DNA repair and an EGFR-mediated cell proliferation pathway","Ha Thi HT, Kim HY, Lee YJ, Kim SJ, Hong S.","Carcinogenesis. 2019 Mar 12;40(1):112-120. doi: 10.1093/carcin/bgy121.","Ha Thi HT","Carcinogenesis","2019","2018/09/17","","","10.1093/carcin/bgy121"
"21789714","Examining the role of Rac1 in tumor angiogenesis and growth: a clinically relevant RNAi-mediated approach","Vader P, van der Meel R, Symons MH, Fens MH, Pieters E, Wilschut KJ, Storm G, Jarzabek M, Gallagher WM, Schiffelers RM, Byrne AT.","Angiogenesis. 2011 Dec;14(4):457-66. doi: 10.1007/s10456-011-9229-x. Epub 2011 Jul 26.","Vader P","Angiogenesis","2011","2011/07/27","","","10.1007/s10456-011-9229-x"
"28422717","C3orf21 ablation promotes the proliferation of lung adenocarcinoma, and its mutation at the rs2131877 locus may serve as a susceptibility marker","Yang L, Wang Y, Fang M, Deng D, Zhang Y.","Oncotarget. 2017 May 16;8(20):33422-33431. doi: 10.18632/oncotarget.16798.","Yang L","Oncotarget","2017","2017/04/20","PMC5464879","","10.18632/oncotarget.16798"
"31601098","Label-Free Estimation of Therapeutic Efficacy on 3D Cancer Spheres Using Convolutional Neural Network Image Analysis","Zhang Z, Chen L, Wang Y, Zhang T, Chen YC, Yoon E.","Anal Chem. 2019 Nov 5;91(21):14093-14100. doi: 10.1021/acs.analchem.9b03896. Epub 2019 Oct 24.","Zhang Z","Anal Chem","2019","2019/10/12","","","10.1021/acs.analchem.9b03896"
"34326488","Enhancing the tropism of bacteria via genetically programmed biosensors","Chien T, Harimoto T, Kepecs B, Gray K, Coker C, Hou N, Pu K, Azad T, Nolasco A, Pavlicova M, Danino T.","Nat Biomed Eng. 2022 Jan;6(1):94-104. doi: 10.1038/s41551-021-00772-3. Epub 2021 Jul 29.","Chien T","Nat Biomed Eng","2022","2021/07/30","PMC8956018","NIHMS1786469","10.1038/s41551-021-00772-3"
"31754384","Hepatomas are exquisitely sensitive to pharmacologic ascorbate (P-AscH(-))","Zhang X, Liu T, Li Z, Feng Y, Corpe C, Liu S, Zhang J, He X, Liu F, Xu L, Shen L, Li S, Xia Q, Peng X, Zhou X, Chen W, Zhang X, Xu J, Wang J.","Theranostics. 2019 Oct 18;9(26):8109-8126. doi: 10.7150/thno.35378. eCollection 2019.","Zhang X","Theranostics","2019","2019/11/23","PMC6857065","","10.7150/thno.35378"
"27040497","Oncogenic Role of Fusion-circRNAs Derived from Cancer-Associated Chromosomal Translocations","Guarnerio J, Bezzi M, Jeong JC, Paffenholz SV, Berry K, Naldini MM, Lo-Coco F, Tay Y, Beck AH, Pandolfi PP.","Cell. 2016 Apr 7;165(2):289-302. doi: 10.1016/j.cell.2016.03.020. Epub 2016 Mar 31.","Guarnerio J","Cell","2016","2016/04/05","","","10.1016/j.cell.2016.03.020"
"35525962","Adamantinomatous craniopharyngioma cyst fluid can trigger inflammatory activation of microglia to damage the hypothalamic neurons by inducing the production of β-amyloid","Ainiwan Y, Chen Y, Mao C, Peng J, Chen S, Wei S, Qi S, Pan J.","J Neuroinflammation. 2022 May 7;19(1):108. doi: 10.1186/s12974-022-02470-6.","Ainiwan Y","J Neuroinflammation","2022","2022/05/07","PMC9080190","","10.1186/s12974-022-02470-6"
"31903133","A tumor suppressor enhancing module orchestrated by GATA4 denotes a therapeutic opportunity for GATA4 deficient HCC patients","Lu F, Zhou Q, Liu L, Zeng G, Ci W, Liu W, Zhang G, Zhang Z, Wang P, Zhang A, Gao Y, Yu L, He Q, Chen L.","Theranostics. 2020 Jan 1;10(2):484-497. doi: 10.7150/thno.38060. eCollection 2020.","Lu F","Theranostics","2020","2020/01/07","PMC6929984","","10.7150/thno.38060"
"28662643","E3 ubiquitin ligase, RNF139, inhibits the progression of tongue cancer","Wang L, Yin W, Shi C.","BMC Cancer. 2017 Jun 29;17(1):452. doi: 10.1186/s12885-017-3438-7.","Wang L","BMC Cancer","2017","2017/07/01","PMC5493000","","10.1186/s12885-017-3438-7"
"22628656","Metabolite profiling identifies a key role for glycine in rapid cancer cell proliferation","Jain M, Nilsson R, Sharma S, Madhusudhan N, Kitami T, Souza AL, Kafri R, Kirschner MW, Clish CB, Mootha VK.","Science. 2012 May 25;336(6084):1040-4. doi: 10.1126/science.1218595.","Jain M","Science","2012","2012/05/26","PMC3526189","NIHMS419088","10.1126/science.1218595"
"28484083","PI3K inhibitor enhances the cytotoxic response to etoposide and cisplatin in a newly established neuroendocrine cervical carcinoma cell line","Lai ZY, Yeo HY, Chen YT, Chang KM, Chen TC, Chuang YJ, Chang SJ.","Oncotarget. 2017 Jul 11;8(28):45323-45334. doi: 10.18632/oncotarget.17335.","Lai ZY","Oncotarget","2017","2017/05/10","PMC5542189","","10.18632/oncotarget.17335"
"28982855","Impressive Suppression of Colon Cancer Growth by Triple Combination SN38/EF24/Melatonin: ""Oncogenic"" Versus ""Onco-Suppressive"" Reactive Oxygen Species","Bakalova R, Zhelev Z, Shibata S, Nikolova B, Aoki I, Higashi T.","Anticancer Res. 2017 Oct;37(10):5449-5458. doi: 10.21873/anticanres.11973.","Bakalova R","Anticancer Res","2017","2017/10/07","","","10.21873/anticanres.11973"
"31926762","Comparison of the prognostic value of ECOG-PS, mGPS and BMI/WL: Implications for a clinically important framework in the assessment and treatment of advanced cancer","Dolan RD, Daly L, Sim WMJ, Fallon M, Ryan A, McMillan DC, Laird BJ.","Clin Nutr. 2020 Sep;39(9):2889-2895. doi: 10.1016/j.clnu.2019.12.024. Epub 2019 Dec 27.","Dolan RD","Clin Nutr","2020","2020/01/14","","","10.1016/j.clnu.2019.12.024"
"32267176","The Zn(S-pr-thiosal)(2) complex attenuates murine breast cancer growth by inducing apoptosis and G1/S cell cycle arrest","Benazic S, Silconi ZB, Jevtovic A, Jurisevic M, Milovanovic J, Mijajlovic M, Nikolic M, Kanjevac T, Potočňák I, Samoľová E, Ratkovic ZR, Radic G, Milovanovic M, Pantic J, Arsenijevic N, Radosavljevic GD.","Future Med Chem. 2020 May;12(10):897-914. doi: 10.4155/fmc-2019-0215. Epub 2020 Apr 8.","Benazic S","Future Med Chem","2020","2020/04/09","","","10.4155/fmc-2019-0215"
"32787747","Autophagic Vacuole Secretion Triggered by Chidamide Participates in TRAIL Apoptosis Effect in Breast Cancer Cells","Zhou W, Han H, Xu J, Sun T, Feng X.","Curr Pharm Des. 2021;27(20):2366-2380. doi: 10.2174/1381612826666200811175513.","Zhou W","Curr Pharm Des","2021","2020/08/14","","","10.2174/1381612826666200811175513"
"24403541","Prediction of therapeutic microRNA based on the human metabolic network","Wu M, Chan C.","Bioinformatics. 2014 Apr 15;30(8):1163-1171. doi: 10.1093/bioinformatics/btt751. Epub 2014 Jan 7.","Wu M","Bioinformatics","2014","2014/01/10","PMC3982155","","10.1093/bioinformatics/btt751"
"26691219","Loss of ITM2A, a novel tumor suppressor of ovarian cancer through G2/M cell cycle arrest, is a poor prognostic factor of epithelial ovarian cancer","Nguyen TM, Shin IW, Lee TJ, Park J, Kim JH, Park MS, Lee EJ.","Gynecol Oncol. 2016 Mar;140(3):545-53. doi: 10.1016/j.ygyno.2015.12.006. Epub 2015 Dec 12.","Nguyen TM","Gynecol Oncol","2016","2015/12/23","","","10.1016/j.ygyno.2015.12.006"
"33668689","Proteomics Approach of Rapamycin Anti-Tumoral Effect on Primary and Metastatic Canine Mammary Tumor Cells In Vitro","Lainetti PF, Leis-Filho AF, Kobayashi PE, de Camargo LS, Laufer-Amorim R, Fonseca-Alves CE, Souza FF.","Molecules. 2021 Feb 25;26(5):1213. doi: 10.3390/molecules26051213.","Lainetti PF","Molecules","2021","2021/03/06","PMC7956669","","10.3390/molecules26051213"
"31944568","Protein Kinase D3 promotes the cell proliferation by activating the ERK1/c-MYC axis in breast cancer","Liu Y, Song H, Yu S, Huang KH, Ma X, Zhou Y, Yu S, Zhang J, Chen L.","J Cell Mol Med. 2020 Feb;24(3):2135-2144. doi: 10.1111/jcmm.14772. Epub 2020 Jan 16.","Liu Y","J Cell Mol Med","2020","2020/01/17","PMC7011155","","10.1111/jcmm.14772"
"31784675","Hsa_circ_0000285 functions as a competitive endogenous RNA to promote osteosarcoma progression by sponging hsa-miRNA-599","Zhang Z, Pu F, Wang B, Wu Q, Liu J, Shao Z.","Gene Ther. 2020 May;27(5):186-195. doi: 10.1038/s41434-019-0112-5. Epub 2019 Nov 29.","Zhang Z","Gene Ther","2020","2019/12/01","","","10.1038/s41434-019-0112-5"
"22502643","Structural analysis of a new cytotoxic demethylated analogue of neo-N-methylsansalvamide with a different peptide sequence produced by Fusarium solani isolated from potato","Lee HS, Lee C.","J Agric Food Chem. 2012 May 2;60(17):4342-7. doi: 10.1021/jf205217v. Epub 2012 Apr 18.","Lee HS","J Agric Food Chem","2012","2012/04/17","","","10.1021/jf205217v"
"32130678","MiR-1256 inhibits cell proliferation and cell cycle progression in papillary thyroid cancer by targeting 5-hydroxy tryptamine receptor 3A","Wu C, Ma L, Wei H, Nie F, Ning J, Jiang T.","Hum Cell. 2020 Jul;33(3):630-640. doi: 10.1007/s13577-020-00325-x. Epub 2020 Mar 4.","Wu C","Hum Cell","2020","2020/03/05","","","10.1007/s13577-020-00325-x"
"30504368","Application of Artificial Intelligence-based Technology in Cancer Management: A Commentary on the Deployment of Artificial Neural Networks","Sherbet GV, Woo WL, Dlay S.","Anticancer Res. 2018 Dec;38(12):6607-6613. doi: 10.21873/anticanres.13027.","Sherbet GV","Anticancer Res","2018","2018/12/04","","","10.21873/anticanres.13027"
"25640694","Identifying anti-growth factors for human cancer cell lines through genome-scale metabolic modeling","Ghaffari P, Mardinoglu A, Asplund A, Shoaie S, Kampf C, Uhlen M, Nielsen J.","Sci Rep. 2015 Feb 2;5:8183. doi: 10.1038/srep08183.","Ghaffari P","Sci Rep","2015","2015/02/03","PMC4313100","","10.1038/srep08183"
"32909245","Dynamic Contrast-Enhanced Magnetic Resonance Imaging as Imaging Biomarker for Vascular Normalization Effect of Infigratinib in High-FGFR-Expressing Hepatocellular Carcinoma Xenografts","Tran A, Koh TS, Prawira A, Ho RZW, Le TBU, Vu TC, Hartano S, Teo XQ, Chen WC, Lee P, Thng CH, Huynh H.","Mol Imaging Biol. 2021 Feb;23(1):70-83. doi: 10.1007/s11307-020-01531-7. Epub 2020 Sep 9.","Tran A","Mol Imaging Biol","2021","2020/09/10","","","10.1007/s11307-020-01531-7"
"32724453","RNA-binding protein NONO contributes to cancer cell growth and confers drug resistance as a theranostic target in TNBC","Kim SJ, Ju JS, Kang MH, Eun JW, Kim YH, Raninga PV, Khanna KK, Győrffy B, Pack CG, Han HD, Lee HJ, Gong G, Shin Y, Mills GB, Eyun SI, Park YY.","Theranostics. 2020 Jul 2;10(18):7974-7992. doi: 10.7150/thno.45037. eCollection 2020.","Kim SJ","Theranostics","2020","2020/07/30","PMC7381744","","10.7150/thno.45037"
"30908483","Targeting mitochondria in cancer therapy could provide a basis for the selective anti-cancer activity","Rozanov D, Cheltsov A, Nilsen A, Boniface C, Forquer I, Korkola J, Gray J, Tyner J, Tognon CE, Mills GB, Spellman P.","PLoS One. 2019 Mar 25;14(3):e0205623. doi: 10.1371/journal.pone.0205623. eCollection 2019.","Rozanov D","PLoS One","2019","2019/03/26","PMC6433232","","10.1371/journal.pone.0205623"
"33172965","Cold-inducible RNA binding protein promotes breast cancer cell malignancy by regulating Cystatin C levels","Indacochea A, Guerrero S, Ureña M, Araujo F, Coll O, LLeonart ME, Gebauer F.","RNA. 2021 Feb;27(2):190-201. doi: 10.1261/rna.076422.120. Epub 2020 Nov 10.","Indacochea A","RNA","2021","2020/11/11","PMC7812870","","10.1261/rna.076422.120"
"28927426","The acid-sensing ion channel, ASIC2, promotes invasion and metastasis of colorectal cancer under acidosis by activating the calcineurin/NFAT1 axis","Zhou ZH, Song JW, Li W, Liu X, Cao L, Wan LM, Tan YX, Ji SP, Liang YM, Gong F.","J Exp Clin Cancer Res. 2017 Sep 19;36(1):130. doi: 10.1186/s13046-017-0599-9.","Zhou ZH","J Exp Clin Cancer Res","2017","2017/09/21","PMC5606037","","10.1186/s13046-017-0599-9"
